Vl,Vr,S
150,150,400
140,135,400
140,150,400
150,145,400
150,150,400
140,140,400
145,150,188
135,130,180
130,120,171
90,100,165
145,145,149
130,150,148
130,135,141
40,40,77
50,50,59
90,100,119
90,95,111
100,90,104
80,90,97
70,65,90
100,110,82
50,50,75
100,90,400
125,130,394
140,140,400
150,145,400
130,145,154
95,100,130
130,125,116
120,120,117
110,90,116
110,90,101
65,70,89
65,75,81
105,100,130
50,20,49
50,15,43
45,10,27
100,100,304
50,20,54
45,45,71
50,45,67
50,50,53
100,100,147
75,80,96
60,65,79
60,60,85
100,100,111
95,90,108
100,110,99
90,80,90
85,75,79
65,60,73
110,110,241
100,120,155
120,120,141
100,90,198
95,100,178
120,130,177
120,120,130
80,75,119
65,50,63
60,65,99
75,70,90
60,55,76
65,60,72
100,100,123
120,130,196
100,100,105
95,90,107
50,45,71
60,30,57
130,140,400
150,140,400
130,140,400
130,120,400
135,140,400
145,140,400
150,140,400
150,140,400
150,150,400
145,140,400
130,135,400
145,140,400
130,135,400
120,120,183
140,135,173
145,140,400
150,145,400
145,135,144
145,140,131
130,130,121
120,120,115
110,120,108
120,140,400
140,150,400
140,150,400
150,150,400
135,140,400
130,140,349
135,140,319
145,135,315
120,120,299
140,135,291
135,140,400
20,60,44
15,60,40
10,55,34
140,135,256
140,145,248
120,125,164
90,100,95
100,110,157
120,125,117
135,135,400
140,140,400
50,15,43
50,10,32
50,10,27
50,10,24
55,10,21
60,10,19
60,10,16
145,150,400
140,135,400
150,145,400
135,145,313
110,120,171
125,130,151
110,100,148
120,130,139
90,100,117
120,110,133
110,120,116
90,85,127
100,90,119
80,90,120
140,135,129
110,95,129
100,105,119
100,90,138
100,105,129
135,140,130
120,110,128
95,90,118
95,100,118
105,100,123
120,110,112
140,135,313
140,140,312
90,90,172
150,150,400
140,135,400
0,100,14
140,145,91
110,90,78
70,75,67
65,60,58
20,50,48
20,50,41
10,50,37
145,140,400
145,150,400
145,150,400
20,50,49
25,50,54
10,50,28
10,55,21
10,100,13
10,100,22
5,130,12
10,120,18
130,135,400
130,145,204
90,95,95
100,110,97
90,95,178
100,100,170
100,90,160
90,95,151
100,95,142
90,90,134
95,100,126
90,100,107
95,95,98
90,100,91
80,85,92
50,20,63
85,70,76
50,10,47
55,10,41
100,10,24
130,0,13
150,0,3
90,90,136
95,95,148
100,100,158
140,150,400
125,130,196
100,110,165
125,120,144
110,120,133
110,100,128
95,90,116
90,85,109
85,90,108
100,90,110
135,130,384
140,140,400
110,120,167
140,135,400
10,100,10
120,110,109
70,10,40
80,10,12
50,10,30
70,10,19
80,5,17
80,80,102
85,75,95
75,70,88
80,85,85
110,100,107
140,130,340
140,140,351
120,120,262
110,100,290
90,85,145
90,85,134
95,100,121
95,110,110
95,100,111
100,100,105
90,90,85
80,85,79
70,70,74
65,65,74
60,60,65
45,20,53
50,10,43
100,20,34
120,110,86
100,110,76
70,65,67
65,60,58
10,45,51
10,50,45
10,60,39
10,65,37
5,100,17
10,110,20
5,120,20
100,100,118
95,95,107
140,140,400
100,95,83
90,95,64
50,20,52
50,20,47
55,20,47
60,20,35
50,60,68
55,60,54
60,20,39
55,10,24
90,10,19
135,135,144
140,140,400
140,135,350
90,90,83
135,140,321
135,135,104
90,100,93
90,85,82
85,80,73
140,140,400
145,145,400
145,150,400
80,90,78
50,20,51
50,50,73
100,90,86
135,145,400
145,150,400
140,145,132
135,145,173
120,120,115
135,120,113
100,100,105
100,90,99
80,90,93
80,75,86
90,80,81
75,75,75
70,70,68
60,60,61
145,135,213
120,110,118
90,100,121
95,100,103
85,90,95
145,150,345
150,150,400
135,140,400
145,145,400
140,140,400
130,135,400
120,120,400
140,135,400
150,145,400
150,145,400
110,100,175
110,120,163
100,90,149
90,90,138
85,80,124
85,70,111
50,10,43
50,50,83
65,60,72
65,60,60
120,120,146
135,140,400
110,120,138
90,90,120
80,85,107
90,90,100
75,75,95
135,140,345
50,10,43
60,10,32
80,10,24
60,10,44
70,70,76
135,135,400
140,140,400
110,120,174
110,95,140
145,140,400
70,10,27
80,10,28
90,10,19
85,10,28
140,150,400
140,140,400
110,120,102
90,90,89
95,90,80
100,90,72
85,75,64
85,80,57
120,110,148
100,110,138
120,110,128
110,120,147
100,10,17
100,5,5
120,5,6
120,0,8
130,130,400
60,10,39
75,75,82
80,80,74
85,80,72
80,10,36
120,120,400
50,10,31
55,10,26
45,10,41
60,60,81
65,65,77
60,70,68
80,80,76
85,75,67
60,60,68
50,30,47
50,25,45
50,30,35
50,20,26
