Column1.1,Column1,Column1.3,Column1.4,Column1.5
TIME:3:38:42,,IR1:30,IR2:0,US:39
TIME:3:38:42,,IR1:15,IR2:0,US:80
TIME:3:38:43,,IR1:0,IR2:0,US:81
TIME:3:38:43,,IR1:0,IR2:0,US:79
TIME:3:38:44,,IR1:0,IR2:0,US:80
TIME:3:38:45,,IR1:0,IR2:0,US:80
TIME:3:38:45,,IR1:0,IR2:0,US:79
TIME:3:38:46,,IR1:0,IR2:0,US:80
TIME:3:38:46,,IR1:0,IR2:30,US:79
TIME:3:38:47,,IR1:0,IR2:0,US:81
TIME:3:38:47,,IR1:0,IR2:0,US:80
TIME:3:38:48,,IR1:0,IR2:0,US:81
TIME:3:38:48,,IR1:0,IR2:0,US:80
TIME:3:38:49,,IR1:45,IR2:15,US:81
TIME:3:38:49,,IR1:75,IR2:75,US:35
TIME:3:38:50,,IR1:75,IR2:75,US:23
TIME:3:38:51,,IR1:75,IR2:75,US:50
TIME:3:38:51,,IR1:60,IR2:75,US:37
TIME:3:38:52,,IR1:60,IR2:90,US:23
TIME:3:38:52,,IR1:15,IR2:60,US:23
TIME:3:38:53,,IR1:0,IR2:75,US:47
TIME:3:38:53,,IR1:75,IR2:60,US:40
TIME:3:38:54,,IR1:60,IR2:90,US:33
TIME:3:38:54,,IR1:60,IR2:60,US:63
TIME:3:38:55,,IR1:75,IR2:75,US:50
TIME:3:38:55,,IR1:75,IR2:75,US:38
TIME:3:38:56,,IR1:15,IR2:60,US:27
TIME:3:38:57,,IR1:0,IR2:75,US:18
TIME:3:38:57,,IR1:45,IR2:120,US:48
TIME:3:38:58,,IR1:0,IR2:60,US:39
TIME:3:38:58,,IR1:0,IR2:60,US:124
TIME:3:38:59,,IR1:45,IR2:60,US:63
TIME:3:38:59,,IR1:105,IR2:105,US:25
TIME:3:39:00,,IR1:15,IR2:75,US:16
TIME:3:39:00,,IR1:0,IR2:90,US:53
TIME:3:39:01,,IR1:0,IR2:60,US:37
TIME:3:39:01,,IR1:0,IR2:90,US:29
TIME:3:39:02,,IR1:0,IR2:75,US:51
